Temperature,RH,Rain,DC,FWI,FWI/FFMC,(DMC/FWI)/ISI,FWI/BUI,month_07,month_08,month_09,Classes_not fire
33,50,0.0,92.8,12.9,0.14543404735062007,0.0782387190684134,0.4558303886925795,0,0,0,0
34,81,0.0,37.2,3.4,0.04156479217603912,0.1168384879725086,0.2905982905982906,1,0,0,1
29,65,0.6,15.2,0.7,0.010248901903367497,0.08484848484848484,0.12068965517241378,0,0,1,1
34,45,0.0,24.1,14.1,0.15580110497237568,0.07186544342507645,0.7966101694915254,1,0,0,0
30,80,0.0,34.5,3.7,0.04452466907340554,0.13381555153707053,0.37,0,0,1,0
35,59,0.0,52.8,10.9,0.12372304199772986,0.11796536796536797,0.598901098901099,1,0,0,0
34,58,0.2,88.0,3.8,0.047798742138364776,0.09676597911892029,0.1557377049180328,0,0,1,1
32,66,0.0,55.8,7.5,0.08731082654249127,0.11957908163265309,0.5033557046979865,0,0,0,0
28,90,0.0,14.7,0.6,0.008982035928143712,0.06944444444444445,0.08450704225352113,0,0,0,1
36,53,0.0,98.6,15.3,0.17152466367713004,0.08947368421052632,0.6401673640167365,1,0,0,0
32,62,0.1,47.7,3.8,0.04668304668304668,0.14042867701404288,0.33043478260869563,0,0,0,0
27,66,0.4,71.3,2.1,0.030791788856304986,0.11111111111111112,0.13636363636363635,1,0,0,1
34,45,0.0,46.4,15.0,0.16574585635359115,0.07098575552505797,0.8021390374331551,1,0,0,0
33,62,8.7,8.3,0.4,0.0061068702290076335,0.09661835748792272,0.09090909090909091,0,0,0,1
35,42,0.3,45.1,6.3,0.0743801652892562,0.09452363090772693,0.37724550898203596,1,0,0,0
26,81,0.0,61.4,7.1,0.08452380952380951,0.10718599033816424,0.4011299435028249,0,0,0,0
29,89,0.7,7.6,0.0,0.0,0.0,0.0,0,0,0,1
33,73,1.8,8.9,0.3,0.005008347245409015,0.19480519480519481,0.1111111111111111,0,0,1,1
31,64,0.0,71.8,10.6,0.12211981566820276,0.08888143551903405,0.4907407407407407,0,0,0,0
33,68,0.0,51.6,9.1,0.10569105691056911,0.07322175732217573,0.3807531380753138,1,0,0,0
31,54,0.0,16.3,1.7,0.020731707317073172,0.11333333333333333,0.27419354838709675,0,0,1,1
36,29,0.0,80.6,30.0,0.3194888178913738,0.04095004095004095,0.759493670886076,1,0,0,0
33,68,0.0,49.8,8.0,0.09345794392523366,0.10666666666666667,0.5194805194805194,1,0,0,0
29,80,2.0,7.6,0.1,0.002053388090349076,0.15151515151515152,0.038461538461538464,0,0,0,1
34,42,1.7,8.5,2.2,0.027603513174404015,0.08333333333333333,0.19130434782608696,0,0,0,1
37,56,0.0,20.2,5.9,0.06750572082379863,0.10130494505494506,0.5363636363636364,0,1,0,0
35,68,0.0,17.0,5.3,0.06213364595545135,0.10816326530612244,0.5353535353535354,0,0,0,0
33,66,0.0,94.7,10.6,0.12183908045977011,0.0856981162583879,0.3897058823529412,0,1,0,0
35,34,0.0,97.3,21.6,0.23427331887201736,0.06632277081798084,0.7346938775510204,0,0,1,0
42,24,0.0,76.4,24.0,0.25,0.05045090496310777,0.7894736842105263,0,1,0,0
36,71,0.0,117.1,12.2,0.14186046511627906,0.06482809926138478,0.2953995157384988,0,1,0,0
40,41,0.1,65.1,14.8,0.16086956521739132,0.06893339543549139,0.6115702479338844,0,1,0,0
30,73,0.0,38.3,7.1,0.08198614318706697,0.10478158205430932,0.5259259259259259,0,0,0,0
32,47,0.3,84.4,3.9,0.048811013767209005,0.09634387351778656,0.1638655462184874,0,0,0,1
36,55,0.0,43.3,12.0,0.13468013468013468,0.07177033492822966,0.5769230769230769,0,0,0,0
34,44,0.0,63.3,17.5,0.1891891891891892,0.062003968253968256,0.66793893129771,0,0,1,0
33,76,0.0,18.7,2.2,0.027127003699136874,0.10446343779677114,0.271604938271605,1,0,0,1
31,66,0.0,24.9,4.1,0.04784130688448074,0.12349397590361444,0.4555555555555555,0,0,1,0
37,37,0.0,52.4,18.4,0.1989189189189189,0.05781799899446958,0.6789667896678966,0,0,0,0
35,66,0.1,96.8,7.7,0.09310761789600967,0.07135575942915393,0.21690140845070424,0,1,0,0
29,61,1.3,7.6,0.4,0.006211180124223602,0.09756097560975611,0.10256410256410257,0,0,0,1
34,56,0.1,27.3,5.2,0.06139315230224321,0.11406010089932005,0.5048543689320388,1,0,0,0
37,52,0.0,100.7,14.6,0.16349384098544234,0.09407216494845361,0.6375545851528385,0,1,0,0
28,87,4.4,8.0,0.0,0.0,0.0,0.0,0,0,1,1
36,50,0.0,71.0,17.3,0.19243604004449388,0.05568968292290359,0.5306748466257669,1,0,0,0
30,66,0.2,26.6,0.7,0.009523809523809523,0.11382113821138212,0.11666666666666665,0,0,1,1
27,58,0.0,37.8,12.9,0.14510686164229472,0.06961308078355188,0.6084905660377359,0,0,0,0
32,51,0.0,50.2,9.8,0.1104847801578354,0.08876811594202899,0.550561797752809,0,0,1,0
35,70,0.8,180.4,4.2,0.0577716643741403,0.09803921568627452,0.11229946524064172,0,1,0,1
35,38,0.0,147.7,26.9,0.2920738327904452,0.04298085833892564,0.4899817850637523,0,1,0,0
34,63,2.9,9.8,0.6,0.00860832137733142,0.06944444444444445,0.08695652173913043,0,1,0,1
35,54,0.1,26.3,3.1,0.037037037037037035,0.11904761904761905,0.3333333333333333,0,0,0,0
28,67,0.0,16.3,0.8,0.010610079575596816,0.13793103448275862,0.2,0,0,1,1
30,73,4.0,7.8,0.2,0.003590664272890485,0.12345679012345678,0.06896551724137931,0,0,0,1
31,65,0.0,88.7,7.3,0.08659549228944247,0.12166666666666666,0.39459459459459456,1,0,0,0
25,86,4.6,7.5,0.0,0.0,0.0,0.0,0,0,1,1
35,63,0.0,85.1,10.2,0.11724137931034483,0.09099018733273861,0.4180327868852459,0,1,0,0
34,70,0.0,25.6,6.7,0.07790697674418605,0.09693287037037036,0.5275590551181103,0,0,0,0
33,76,0.0,117.8,11.3,0.13063583815028904,0.08269906323185014,0.35202492211838005,1,0,0,0
30,80,0.4,17.0,0.5,0.008237232289950576,0.0874125874125874,0.0847457627118644,1,0,0,1
26,80,1.8,7.7,0.1,0.0021097046413502112,0.11494252873563218,0.03333333333333333,0,0,1,1
31,62,0.0,17.7,3.2,0.03841536614645859,0.14519056261343014,0.5,0,0,1,0
40,31,0.0,46.3,21.6,0.22929936305732485,0.05783132530120482,0.9642857142857144,0,1,0,0
32,60,0.2,17.6,0.9,0.011673151750972765,0.08333333333333333,0.13846153846153847,0,0,0,1
30,52,2.0,7.8,0.9,0.012448132780082988,0.056390977443609026,0.08256880733944955,0,0,0,1
33,57,0.0,37.6,9.0,0.10285714285714286,0.08555946382736002,0.5732484076433121,1,0,0,0
30,59,0.0,168.2,19.4,0.21773288439955107,0.07120833945088825,0.49363867684478374,0,1,0,0
24,64,0.2,16.5,0.5,0.007429420505200595,0.10964912280701754,0.10416666666666667,0,0,1,1
31,65,0.0,54.3,5.6,0.06627218934911243,0.11199999999999999,0.3544303797468354,0,0,0,0
30,78,0.0,31.6,2.2,0.027160493827160497,0.13431013431013433,0.2619047619047619,0,0,0,0
33,48,0.0,17.8,6.4,0.07305936073059362,0.11913626209977662,0.8205128205128206,1,0,0,0
25,76,7.2,7.5,0.1,0.002173913043478261,0.38461538461538464,0.05555555555555556,0,0,1,1
34,40,0.0,157.5,31.1,0.3376764386536374,0.038629221577711814,0.5226890756302521,0,1,0,0
28,75,0.0,24.3,2.5,0.03041362530413625,0.1721763085399449,0.4166666666666667,0,0,1,0
39,33,0.0,32.1,19.5,0.20811099252934898,0.06629946960424317,1.153846153846154,0,1,0,0
36,55,0.0,151.3,20.4,0.22895622895622897,0.06151062867480777,0.47331786542923426,0,1,0,0
34,71,6.5,9.1,0.4,0.006201550387596899,0.12121212121212123,0.1142857142857143,0,0,1,1
27,84,1.2,17.0,0.2,0.004,0.05970149253731343,0.029850746268656716,0,0,0,1
30,89,0.6,7.8,0.0,0.0,0.0,0.0,0,0,0,1
32,63,0.0,37.0,6.8,0.07816091954022988,0.11140235910878112,0.544,1,0,0,0
35,48,0.0,220.4,30.2,0.3351831298557159,0.04457564575645757,0.4480712166172106,0,1,0,0
28,76,0.0,25.5,0.4,0.005509641873278238,0.0816326530612245,0.048192771084337345,1,0,0,1
33,63,1.1,56.6,2.5,0.034340659340659344,0.07476076555023924,0.1152073732718894,1,0,0,1
36,33,0.1,77.8,15.4,0.16997792494481237,0.06632213608957795,0.5460992907801419,0,0,1,0
35,46,0.3,54.2,5.5,0.06555423122765196,0.09298393913778531,0.2894736842105263,0,1,0,0
37,53,0.0,127.5,18.1,0.2022346368715084,0.05504866180048662,0.39780219780219783,0,1,0,0
28,79,0.1,79.9,2.8,0.03814713896457765,0.0948509485094851,0.12903225806451613,1,0,0,1
31,72,0.0,25.2,3.9,0.04631828978622327,0.12365250475586556,0.4285714285714286,0,0,1,0
33,69,0.7,9.3,0.5,0.007507507507507508,0.07575757575757575,0.08620689655172414,1,0,0,1
26,81,5.8,7.7,0.1,0.00205761316872428,0.08333333333333333,0.03333333333333333,0,0,1,1
32,71,0.7,8.2,0.2,0.0035026269702276708,0.13333333333333333,0.07142857142857144,0,0,0,1
35,34,0.2,45.1,10.5,0.11891279728199321,0.08284023668639054,0.6,0,1,0,0
33,54,0.0,30.5,7.2,0.08163265306122448,0.11363636363636363,0.6605504587155964,0,0,0,0
31,67,0.1,39.5,2.3,0.029077117572692792,0.13690476190476192,0.23711340206185566,0,0,0,1
